IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,283,"44,289",550
Góma,Marksman,284,"33,881",0
Zugan,Shadower,285,"32,821",0
Smellymelons,Night Walker,283,"30,002",0
AgriasOäks,Hero,283,"28,473",0
SingularityX,Hero,283,"25,400",300
MysticalStep,Phantom,282,"21,762",250
GomaSr,Night Lord,281,"21,437",0
AYoungPanda,Xenon,280,"20,686",650
NaroXY,Night Lord,281,"17,534",400
ShiroUni,Bishop,278,"17,335",350
HeWhoBuccs,Buccaneer,279,"17,235",0
Osmosium,Hero,278,"16,696",0
Zeeyoung,Hoyoung,276,"16,470",0
bunch0,Illium,281,"15,946",400
AgriásOaks,Adele,276,"15,722",0
Zunea77,Shadower,282,"14,839",100
geminiseason,Shadower,253,0,0
jsphbish,Bishop,241,0,100
Kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
Sadweekend,Lara,267,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
xillusionZ,Pathfinder,262,0,0
XxMakgeolli,Night Lord,256,0,0
shootemquile,Wind Archer,277,"13,335",250
Alivya,Bishop,281,"12,994",0
coolcat66,Arch Mage (F/P),278,"12,386",0
joosty,Dawn Warrior,278,"11,395",0
ExiledCrown,Night Lord,279,"11,151",350
Explosia,Bishop,275,"11,082",0
Ostentat,Mechanic,282,"10,888",0
helloyesok,Cadena,261,"10,776",0
Charmante,Kinesis,280,"10,210",0
SmackYaDad,Kain,282,"10,110",0
PoeBow,Pathfinder,275,"9,470",0
SomaSet,Dark Knight,281,"9,011",0
SatsumaBushi,Hayato,278,"8,901",0
Couronne,Bowmaster,277,"8,722",450
IHinoeI,Wild Hunter,278,"8,101",0
XxAvV,Adele,276,"7,923",0
ArkR1,Ark,275,7.876,100
Gôma,Bowmaster,262,7.851,0
Iyazs,Wind Archer,277,7.669,100
Channel,Buccaneer,261,7.634,0
JobuTupaky,Shadower,281,"7,431",100
Fieldsofice,Arch Mage (I/L),276,7.116,0
MauricioS,Bishop,273,7.068,650
WaterBender,Zero,273,"6,340",0
goatnuts,Night Walker,270,"6,260",0
Azaghal,Mihile,262,"6,068",0
Student625,Bishop,278,"5,993",0
Robust,Shade,265,"5,944",0
Coronadena,Cadena,270,"5,773",250
AnnyWithaY,Cadena,278,"5,769",100
Chiivess,Bishop,279,"5,621",100
Aggression,Buccaneer,262,"5,616",100
Seihin,Dawn Warrior,265,"5,271",350
FairParadox,Hero,270,"5,103",100
warlock,Night Lord,275,"4,960",0
Arsteia,Bowmaster,274,"4,905",0
DouBlaze,Shadower,261,"4,821",100
Nooks7070,Dawn Warrior,259,"4,161",0
