IGN,CLASS,LVL,CULVERT,FLAG
Goma,Marksman,283,"31,070",0
Zugan,Shadower,284,"29,682",0
NandoLab,Night Walker,282,"29,480",450
Agriasoaks,Hero,282,"28,893",0
SingularityX,Hero,282,"27,344",0
Smellymel,Night Walker,282,"26,862",0
STDballs,Illium,281,"26,289",0
Kyenesis,Kinesis,283,"24,865",0
Burial,Dawn Warrior,282,"22,893",0
AYoungPan,Xenon,280,"20,629",450
tomotokun,Thunder Breaker,282,"18,089",800
ShiroUni,Bishop,278,"16,089",0
HeWhoBuc,Buccaneer,278,"15,830",0
MysticalStep,Phantom,281,"15,359",0
FujiNW,Night Walker,276,"15,206",0
Zeeyoung,Hoyoung,276,"14,647",0
NaroXY,Night Lord,281,"14,097",0
Rigumaru,Hayato,248,0,0
SerAmida,Hayato,265,0,0
ShaquilleONDawn,Warrior,261,0,0
SingleStep,Shadower,270,0,0
SmittyKitty,Hoyoung,262,0,0
SmollNippy,Bishop,261,0,0
Snooted,Wind Archer,268,0,0
SolEXCrownDawn,Warrior,251,0,0
SolEXCrownDawn,Warrior,250,0,0
StumblsRuThunderBreaker260,Unknown,260,0,0
Synchronite,Zero,255,0,0
TigerThorn,Kanna,255,0,0
ToNhon,Kanna,278,0,0
Tonigiri,Shadower,268,0,0
Twynkles,Dawn Warrior,250,0,0
URAQT,Angelic Buster,253,0,0
Waowa,Wind Archer,260,0,0
Wexarn,Mercedes,250,0,0
Xepyks,Hero,262,0,0
abowtym,Bowmaster,250,0,0
antcbb,Aran,260,0,0
buncho,lllium,281,0,0
bunchwalk,Night Walker,261,0,0
fwed,Bishop,260,0,0
geminisea,Shadower,253,0,0
kesmaree,Adele,264,0,0
niervaren,Kanna,247,0,0
onetym:,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
sluhgs,Angelic Buster,263,0,0
sut1ven,Dawn Warrior,275,0,0
warlock,Night Lord,271,0,0
XAzil,Aran,261,0,0
xxMakgeolli,Night Lord,256,0,0
coolcat66,Arch Mage(F/P,277,"13,774",0
Osmosium,Hero,277,"11,921",0
FairyErda,Mercedes,279,"11,465",300
SatsumaB,Hayato,277,"11,207",0
blkicecoffee,Bowmaster,280,"11,077",0
helloyesok,Cadena,261,"10,392",650
Ostentat,Mechanic,281,"10,148",250
SmackYaD,Kain,281,"10,142",0
AgriasOaks,Adele,276,"10,129",0
Charmante,Kinesis,279,"9,731",250
Alivya,Bishop,280,"9,506",0
FindingRa,:Pathfinder,278,"9,378",0
PoeBow,Pathfinder,274,"8,915",0
joosyu,Dawn Warrior,276,"8,842",0
LegaSynn,Night Lord,276,"8,779",0
shootemqu,Wind Archer,276,"8,534",400
Ailiou,Arch Mage(I/L),277,"8,501",0
Channel,Buccaneer,261,"8,108",0
Couronne,Bowmaster,276,"8,026",0
Goma,Bowmaster,261,"7,799",0
6Will,Night Lord,273,"7,775",0
XxAW,Adele,275,"7,158",0
Explosia,Bishop,275,"7,061",0
Robust,Shade,265,"6,807",0
JobuTupaky,Shadower,280,"6,694",400
CoronaHer,Hero,274,"6,652",100
Azaghal,Mihile,262,"6,409",0
SomaSet,Dark Knight,280,"6,242",0
Student625,Bishop,278,"6,030",0
STDswords,Adele,269,"5,840",0
goatnuts,Night Walker,268,"5,814",0
WaterBend,Zero,272,"5,681",100
Coronadena,Cadena,270,"5,601",200
MauricioS,Bishop,271,"5,291",400
ArkR1,Ark,274,"5,125",100
Arsteia,Bowmaster,273,"5,095","1,000"
Chivess,Bishop,277,"4,949",100
SIMP4CHA,Wind Archer,275,"4,919",100
AnnyWithaY,Cadena,277,"4,845",100
FairParadox,Hero,267,"4,825",100
Aggression,Buccaneer,262,"4,603",0
Consumab,Shadower,261,"4,130",0
MaJorG,Aran,262,"4,113",0
Seihin,Dawn Warrior,264,"4,091",300
RaloGreen,Phantom,267,"3,581",250
AdelePyrusX,Adele,275,"3,471",100
joyjoos,Buccaneer,261,"3,417",100
goatnuts,Kanna,260,"3,299",0
sadweeken,Lara,267,"2,865",250
