IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,285,"54,403",0
gomahao,Marksman,286,"40,976",0
Smellymel,NightWalker,285,"40,266",0
Zugan,Shadower,286,"38,923",0
niffyWhiff,Wind Archer,285,"33,319",0
SingularityX,Hero,285,"31,560",0
NaroXY,Night Lord,283,"31,409",0
Agriasoaks,Hero,284,"31,231",0
AYoungPan,Xenon,281,"26,016",0
buncho,Illium,283,"25,540",0
ShiroUni,Bishop,280,"24,991",250
HeWhoBuc,Buccaneer,280,"23,574",0
Sachdad,Kain,284,"22,863",0
joosty,Dawn Warrior,281,"22,835",0
AgriasOaks,Adele,276,"20,428",0
Charmante,Kinesis,281,"19,062",0
pokguy,Arch Mage (I/L),277,"18,997","1,000"
NatsumeR,Lynn,248,0,0
Nooks7070,Dawn Warrior,259,0,0
Oakees,Cadena,264,0,0
Pedelle,Adele,271,0,0
PhaseRus,NightWalker,261,0,0
Punx,Cadena,281,0,0
PyrusILma,Arch Mage (I/L),261,0,0
Rafff,Paladin,245,0,0
SatsumaB,Hayato,278,0,0
SerAmida,Hayato,265,0,0
Snooted,Wind Archer,270,0,0
SolEXCrownDawn,Warrior,252,0,0
SomaSet,Dark Knight,282,0,0
StumblsRuThunder,Unknown,0,0,0
TigerThorn,Kanna,255,0,0
Tipku,Adele,262,0,0
URAQT,Angelic Buster,253,0,0
Walkees,Night Walker,258,0,0
Waowa,Wind Archer,262,0,0
Wexam,Mercedes,257,0,0
Winterwinta,Phantom,273,0,0
Xepyks,Hero,267,0,0
antchh,Aran,260,0,0
bunchwalk,Night Walker,263,0,0
geminisea,Shadower,260,0,0
goatnuts,Kanna,261,0,0
kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
sadweeken,Lara,270,0,0
slimreboot,Demon Slayer,260,0,0
sluhgs,Angelic Buster,263,0,0
sutiven,Dawn Warrior,275,0,0
xIllusionZ,Pathfinder,262,0,0
FairyErda,Mercedes,281,"18,680","1,000"
shootemqu,Wind Archer,280,"17,590",650
jonipally,Paladin,281,"17,084",0
Zeeyoung,Hoyoung,277,"16,646",0
MauricioS,Bishop,280,"16,150","1,000"
ExiledCrown,Night Lord,281,"15,610",0
Ostentat,Mechanic,283,"14,350",0
XxAW,Adele,278,"13,371",0
Channel,Buccaneer,263,"13,100",0
Couronne,Bowmaster,280,"12,692",0
IHinoel,Wild Hunter,281,"12,372",0
warlock,Night Lord,281,"12,330",0
CoronaHer,Hero,278,"12,103",0
goatnuts,Night Walker,275,"11,906",0
PoeBow,Pathfinder,278,"11,892",0
helloyesok,Cadena,261,"11,813",0
Explosia,Bishop,277,"11,537",0
Malfe,Night Walker,280,"11,398",0
Chivess,Bishop,280,"11,188",0
FindingRa,Pathfinder,280,"11,168",0
EightLD,Buccaneer,275,"11,032",0
AnnyWithaY,Cadena,280,"10,340",0
ArkR1,Ark,276,"9,640",450
Student625,Bishop,281,"9,237",0
Robust,Shade,266,"8,840",0
lyazy,Wind Archer,281,"8,620",0
GreenHero,Hero,276,"8,198",0
KptKrazz,Buccaneer,275,"8,149",0
JobuTupaky,Shadower,282,"8,051",450
Seihin,Dawn Warrior,271,"7,904",250
Arsteia,Bowmaster,277,"7,732","1,000"
Goma,Bowmaster,263,"7,677",0
Coronadena,Cadena,275,"7,595",200
Azaghal,Mihile,263,"7,452",0
Ixeon,Paladin,276,"7,009",0
Kori312,Arch Mage(F/P),269,"6,802",100
joyjoos,Buccaneer,261,"6,654",0
DouBlaze,Shadower,264,"6,622",100
OJeezOWe,Arch Mage (F/P),278,"6,550",100
WaterBend,Zero,276,"6,344",0
Aggression,E Buccaneer,262,"6,167",0
ShyGuy69,Demon Slayer,276,"6,122",0
Fairies,Adele,273,"5,321",0
Maokie,Arch Mage (I/L),268,"5,273",550
Herfo,Hero,271,"5,140",200
blkicecoffee,Bowmaster,280,"5,095",0
LoveGoes,Night Lord,271,"4,861",100
ExcaliCrown,Hero,271,"4,659",0
