IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,285,"57,082",450
Zugan,Shadowers,285,"43,015",0
SingularityX,Hero,285,"36,810",0
Agriasoaks,Hero,283,"34,215",0
niffyWhiff,Wind Archer,285,"31,900",100
Smellymel,Night Walker,285,"31,239",0
AYoungPan,Xenon,281,"29,432","1,000"
ShiroUni,Bishop,280,"26,211",0
HeWhoBuc,Buccaneer,280,"25,636",0
Osmosium,Hero,281,"25,046",0
NaroXY,Night Lord,282,"24,452",100
Alivya,Bishop,283,"23,106",0
joosty,Dawn Warrior,281,"22,077",0
Cessation,Hero,280,"20,359",0
AgriasOaks,Adele,276,"19,999",0
FairyErda,Mercedes:,280,"19,750",800
SmackYaD,Kain,283,"19,517",0
StumblsRuThunderBreaker261,Unknown,261,0,0
Synchronite,Zero,260,0,0
TigerThorn,Kanna,255,0,0
Tipku,Adele,262,0,0
URAQT,Angelic Buster,253,0,0
Waokie,Hayato,262,0,0
Waowa,Wind Archer,261,0,0
Wexarn,Mercedes,250,0,0
Winterwinta,Phantom,273,0,0
Xepyks,Hero,265,0,0
antcbb,Aran,260,0,0
blkicecoffee,Bowmaster,280,0,0
bunchwalk,Night Walker,263,0,0
geminisea,Shadower,256,0,0
gomahao,Marksman,286,0,0
jsphbish,Bishop,267,0,0
kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
slimreboot,Demon Slayer,257,0,0
sluhgs,Angelic Buster,263,0,0
sut1ven,Dawn Warrior,275,0,0
xIllusionZ,Pathfinder,262,0,0
xxMakgeolli,Night Lord,256,0,0
Charmante,Kinesis,280,"19,373",0
MysticalStep,Phantom,283,"17,893",0
Zeeyoung,Hoyoung,276,"17,767",0
shootemqu,Wind Archer,279,"16,683",0
pokguy,Arch Mage (I/L),275,"16,356",0
warlock,Night Lord,279,"15,768",0
Ostentat,Mechanic:,283,"14,847",0
CoronaHer,Hero,277,"14,450",0
IHinoel,Wild Hunter,281,"14,190",0
ExiledCrown,Night Lord,281,"14,071",0
Ailiou,Arch Mage (I/L),280,"13,514",0
Couronne,Bowmaster,279,"13,371",0
MauricioS,Bishop,278,"12,983","1,000"
XxAW,Adele,278,"12,834",0
jonipally,Paladin,279,"12,758",0
PoeBow,Pathfinder,277,"12,365",0
helloyesok,Cadena,261,"12,344",0
SomaSet,Dark Knight,282,"12,321",0
FindingRa,Pathfinder,280,"11,936",200
goatnuts,Night Walker,274,"11,280",0
Explosia,Bishop,276,"10,680",0
Fieldsoflce,Arch M,age,5,"10,277"
JobuTupaky,Shadower,281,"10,123",350
Malfe,Night Walker,279,"9,773",0
Channel,Buccaneer,262,"9,519",0
EightLD,Buccaneer,273,"9,107",0
Chiivess,Bishop,280,"9,074",0
Goma,Bowmaster,263,"8,923",0
Azaghal,Mihile,263,"8,860",0
GreenHero,Hero,275,"8,553",0
lyazy,Wind Archer,280,"8,385",0
Student625,Bishop,280,"8,372",0
Seihin,Dawn Warrior,270,"8,101",400
KptKrazz,Buccaneer,273,"8,033",0
WaterBend,Zero,275,"7,853",0
Coronadena,Cadena,274,"7,517",100
Arsteia,Bowmaster,277,"7,395","1,000"
DouBlaze,Shadower,263,"7,062",0
buncho,illium,282,"7,035","1,000"
xMooymoo,Bishop,270,"6,885",0
Jin99,Adele,276,"6,791",100
AnnyWithaY,Cadena,280,"6,090",200
Aggression,Buccaneer,262,"5,707",0
Ixeon,Paladin,273,"5,610",100
OJeezOWe,Arch Mage (F/P),276,"5,537",100
Kori312,Arch Mage (F/P),264,"4,794",200
buffabplz,Hayato,250,"4,585",0
ShyGuy69,Demon Slayer,275,"4,577",0
joyjoos,Buccaneer,261,"4,358",100
Maokie,Arch Mage (I/L),268,"4,207",400
LeSqueech,Bishop,272,"3,724",100
sadweeken,Lara,270,"3,675",300
goatnuts,Kanna,260,3.484,100
Herfo,Hero,268,"3,453",400
Andiology,Hero,272,"3,435",0
AdelePyrusX,Adele,276,"3,407",100
PathJutsu,Pathfinder,272,"2,987",100
Hadal,Buccaneer,261,"2,923",0
Fermtas,Arch Mage(F/P),269,"2,912",100
Camill97,Adele,264,"2,752",100
MightyTWY,Night Walker,267,"2,656",100
Demonictiz,Demon Avenger,250,"2,648","1,000"
Arestei,Phantom,264,"2,439",100
XRTheodore,Night Lord,270,"2,418",0
Akunaii,Blade Master,267,"2,338",0
Snowden,Bowmaster,271,"2,275",0
WharchersWind,Archer,272,"2,265",100
Maydis,Lynn,260,"2,222",0
Lospalos,Hero,270,"2,108",100
gyaradoof,Wind Archer,260,"1,999",250
xIMeowless,Lynn,255,"1,574",100
MesolessHo,Shadower,266,1.412,100
eAnNyah,Wind Archer,268,"1,363",100
SmollNippy,Bishop,269,"1,285",350
Icysilk,Night Lord,262,"1,270",100
Kunfurmita,Kanna,264,"1,258",200
Josh,Evan,270,"1,254",100
discountMe,Wind Archer,260,1.174,0
Susah,Bowmaster,273,913,100
Invert,Battle Mage,271,709,100
BuhcMyDa,Dawn Warrior,269,624,100
PuppyCake,Paladin,267,575,100
Ketiew,Shade,260,503,100
Fauna,Lynn,238,226,250
Sentanapica,Bishop,206,169,0
Orvius,llium,266,0,0
Aoifene,Kaiser,247,0,0
ArkR1,Ark,275,0,0
ArwenWindx,Wind Archer,260,0,0
Atargattis,Wind Archer,263,0,0
Bobington,Night Lord,268,0,0
BrackMamaCannon,Master,270,0,0
BuccaR1,Buccaneer,261,0,0
Cullis,Blade Master,279,0,0
DaddyDoo,Marksman,270,0,300
Darkman4,NightWalker,266,0,0
ExcaliCrown,Hero,270,0,0
FairParadox,Hero,272,0,0
FakerlsU,Mercedes,261,0,0
FujiBow,Bowmaster,261,0,0
GUINS00SWind,Archer,273,0,100
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,262,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,243,0,0
loyo,Battle Mage,270,0,0
JaeiDeun,Pathfinder,277,0,0
Jayras,Dawn Warrior,267,0,0
Jettentat,Hero,261,0,0
KalePesto,Corsair,250,0,0
KannaWoo,Kanna,237,0,0
Kelci,Dawn Warrior,267,0,0
Klobrille,Bishop,275,0,0
Laphrii,Buccaneer,253,0,0
LegaSynn,Night Lord,277,0,0
LoneSwall,Shade,252,0,0
LoveGoes,Night Lord,269,0,0
LuckyLager,Hero,253,0,0
Luumnia,Adele,262,0,0
Minterr,Buccaneer,269,0,0
MysticBish,Bishop,261,0,0
NoXArrow,Wind Archer,262,0,0
Nooks7070,Dawn Warrior,259,0,0
Oakees,Cadena,263,0,0
Pedelle,Adele,271,0,0
PhaseRus,NightWalker,261,0,0
Punx,Cadena,281,0,0
PyrusILma,Arch Mage (I/L),261,0,0
Rafff,Paladin,245,0,0
Robust,Shade,265,0,0
