IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,284,"52,796",550
Zugan,Shadower,285,"37,053",100
AgriasOäks,Hero,283,35.488,0
Góma,Marksman,285,"32,356",0
Smellymelons,Night Walker,284,"31,600",0
SingularityX,Hero,283,27.184,400
bunch0,Illium,282,"26,273",0
NaroXY,Night Lord,282,"23,781",0
Osmosium,Hero,280,"20,513",0
ShiroUni,Bishop,279,"20,189",300
AYoungPanda,Xenon,281,"19,800",650
HeWhoBuccs,Buccaneer,280,"19,536",0
AgriásOaks,Adele,276,"17,275",0
MysticalStep,Phantom,282,"16,467",0
Zeeyoung,Hoyoung,276,"15,352",0
shootemquile,Wind Archer,278,13.759,100
SmackYaDad,Kain,282,13.734,0
StumblsRumbl,Thunder Breaker,261,0,0
Synchronite,Zero,256,0,0
TigerThorn,Kanna,255,0,0
ToNhon,Kanna,278,0,0
URAQT,Angelic Buster,253,0,0
Waowa,Wind Archer,260,0,0
Wexam,Mercedes,250,0,0
Xepyks,Hero,263,0,0
abowtym,Bowmaster,250,0,0
Antcbb,Aran,260,0,0
blkicecoffee,Bowmaster,280,0,0
bunchwalk,Night Walker,263,0,0
geminiseason,Shadower,253,0,0
Kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
Sadweekend,Lara,267,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
xillusionZ,Pathfinder,262,0,0
XxMakgeolli,Night Lord,256,0,0
AIivya,Bishop,281,"12,954",0
Charmante,Kinesis,280,"12,715",0
joosty,Dawn Warrior,280,"12,680",0
ExiledCrown,Night Lord,280,"12,457",300
Ostentat,Mechanic,282,"12,346",0
helloyesok,Cadena,261,"11,158",0
FindingRawrs,Pathfinder,280,"10,949",100
Couronne,Bowmaster,277,"10,903",450
PoeBow,Pathfinder,276,"10,785",0
CoronaHeroX,Hero,276,"10,717",550
coolcat66,Bishop,280,"10,497",0
Explosia,Bishop,275,"10,489",0
SomaSet,Dark Knight,281,"10,369",0
Iyazy,Wind Archer,279,"10,063",100
goatnuts,Night Walker,271,"10,036",0
Aillou,Arch Mage (I/L),278,"9,896",0
Cessation,Hero,277,"9,581",0
Channel,Buccaneer,261,"9,159",0
IHinoeI,Wild Hunter,280,8.708,0
XxAvV,Adele,277,"8,613",0
Chiivess,Bishop,280,"8,447",0
ArkR1,Ark,275,"8,276",200
xMooymoo,Bishop,268,7.991,0
MauricioS,Bishop,274,7.975,"1,000"
FairyErda,Mercedes,280,7.956,"1,000"
Fieldsofice,Arch Mage (I/L),276,7.356,0
SatsumaBushi,Hayato,278,"7,293",0
Azaghal,Mihile,262,"7,268",0
Robust,Shade,265,"7,192",0
freemefromnx,Night Walker,277,7.072,0
Snooted,Wind Archer,269,7.071,0
WaterBender,Zero,274,6.658,0
EightLD,Buccaneer,271,"6,449",400
warlock,Night Lord,276,"6,410",0
Coronadena,Cadena,271,"6,386",250
AnnyWithaY,Cadena,278,"6,024",100
Arsteia,Bowmaster,275,"5,991","1,000"
FairParadox,Hero,271,"5,803",100
Aggression,Buccaneer,262,"5,758",0
winterwinta,Phantom,272,"4,719",250
JoniPally,Paladin,275,"4,535",0
DouBlaze,Shadower,262,"4,270",100
Salò,Dawn Warrior,268,"3,959",0
buffabplz,Hayato,250,"3,641",0
