IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,285,"54,004",0
Smellymel,Night Walker,285,37.891,0
Agriasoaks,Hero,283,"36,650",0
Zugan,Shadower,285,"32,713",0
SingularityX,Hero,284,"31,769",0
AYoungPan,Xenon,281,"27,029",0
HeWhoBuc,Buccaneer,280,"26,523",0
NaroXY,Night Lord,282,"24,450",0
MysticalStep,Phantom,283,"23,322",0
ShiroUni,Bishop,280,"23,167",300
Osmosium,Hero,280,"22,787",0
AgriasOaks,Adele,276,"21,735",0
Aliya,Bishop,282,"19,555",0
Charmante,Kinesis,280,"18,133",0
SmackYaD,Kain,283,"17,421",0
Zeeyoung,Hoyoung,276,"16,628",0
shootemgu,Wind Archer,278,"14,545",250
TigerThorn,Kanna,255,0,0
URAQT,Angelic Buster,253,0,0
Waokie,Hayato,262,0,0
Waowa,Wind Archer,261,0,0
Wexarm,Mercedes,250,0,0
Winterwinta,Phantom,273,0,0
Xepyks,Hero,264,0,0
antcbb,Aran,260,0,0
blkicecoffee,Bowmaster,280,0,0
buncho,Illium,282,0,0
bunchwalk,Night Walker,263,0,0
geminisea,Shadower,256,0,0
gomahao,Marksman,285,0,0
joosty,Dawn Warrior,280,0,0
jsphbish,Bishop,267,0,0
kesmaree,Adele,264,0,0
Icysilk,Night Lord,262,0,0
onetym:,Blade Master,265,0,0
slimreboot,Demon Slayer,255,0,0
sluhgs,Angelic Buster,263,0,0
sut1ven,Dawn Warrior,275,0,0
xIlusionZ,Pathfinder,262,0,0
xxMakgeolli,Night Lord,256,0,0
CoronaHer,Hero,277,"13,813",0
lyazy,Wind Archer,280,"13,457",0
XxAW,Adele,277,"13,141",0
PoeBow,Pathfinder,277,"13,116",0
Ailiou,Arch Mage (I/L),280,"12,969",0
ExiledCrown,Night Lord,280,"12,868",0
Couronne,Bowmaster,279,"12,722","1,000"
helloyesok,Cadena,261,"12,133",0
pokguy,Arch Mage (I/L),273,"11,303",450
freemefrom,Night Walker,278,"11,076",0
MauricioS,Bishop,276,"10,976","1,000"
Explosia,Bishop,276,"10,767",0
SomaSet,Dark Knight,282,"10,693",0
jonipally,Paladin,277,"9,849",0
EightLD,Buccaneer,272,"9,308",0
goatnuts,Night Walker,273,"9,288",0
Coronadena,Cadena,273,"9,263",250
FairyErda,Mercedes,280,"9,155","1,000"
Fieldsoflce,Arch Mage (l/L,277,"9,144",0
FindingRa,Pathfinder,280,8.855,0
Goma,Bowmaster,262,"8,725",0
warlock,Night Lord,278,"8,625",0
ArkR1,Ark,275,"8,206",250
Channel,Buccaneer,261,"8,001",0
Seihin,Dawn Warrior,267,"7,902",100
GreenHero,Hero,273,"7,564",100
xMooymoo,Bishop,268,"7,382",0
Student625,Bishop,280,"7,381",0
WaterBend,Zero,275,"7,239",0
Azaghal,Mihile,263,"7,077",0
Arsteia,Bowmaster,276,"6,708","1,000"
DouBlaze,Shadower,262,"6,518",0
Aggression,E Buccaneer,262,"6,150",0
Snooted,Wind Archer,270,"5,533",0
OJeezOWe,Arch Mage(F/P),275,"5,409",100
GUINS00S,Wind Archer,272,"4,750",100
buffabplz,Hayato,250,"4,653",0
JobuTupaky,Shadower,281,"4,459",550
Maokie,Arch Mage (I/L),267,"4,189",300
AdelePyrusX,Adele,276,"4,123",250
ShyGuy69,Demon Slayer,275,"4,047",100
goatnuts,Kanna,260,"3,650",100
LoveGoes,Night Lord,268,"3,008",100
joyjoos,Buccaneer,261,"2,987",300
sadweeken,Lara,268,"2,956",100
MightyTWY,Night Walker,265,"2,941",100
discountMe,Wind Archer,260,"2,579",100
DaddyDoo,Marksman,267,"2,555",100
PathJutsu,Pathfinder,271,"2,540",100
Demonictiz,Demon Avenger,250,"2,538",800
Herfo,Hero,267,"2,456",450
Femtas,Arch Mage(F/P),268,"2,381",100
Kunfumita,Kanna,264,"2,378",0
Hadal,Buccaneer,261,"2,346",0
Jin99,Adele,275,"2,279",100
Andiology,Hero,271,"2,273",0
LeSqueech,Bishop,269,"2,263",100
BuccaR1,Buccaneer,261,"2,083",200
Josh,Evan,269,"2,045",100
Camill97,Adele,263,"2,007",100
gyaradoof,Wind Archer,258,"1,991",400
XRTheodore,Night Lord,268,"1,988",0
Drewster19,Shadower,267,"1,968",100
Bobington,Night Lord,265,"1,859",100
Akunaii,Blade Master,265,"1,789",0
Snowden,Bowmaster,270,"1,757",0
MauricioSb,Buccaneer,260,"1,694","1,000"
Wharchers,Wind Archer,271,"1,681",100
Lospalos,Hero,267,"1,521",100
Invert,Battle Mage e,270,"1,495",100
MesolessHo,Shadower,263,"1,405",100
eAnNyah,Wind Archer,267,"1,326",100
Tipku,Adele,262,"1,072",0
Maydis,Lynn,246,"1,032",550
Klobrille,Bishop,274,916,100
Laphrii,Buccaneer,253,856,100
SuhcMyDa,Dawn Warrior,267,707,100
Susah,Bowmaster,272,676,100
PuppyCake,Paladin,266,436,100
Fauna,Lynn,230,138,100
Sentanapica,Bishop,200,31,0
Orvius,lllium,266,0,0
AnnyWithaY,Cadena,279,0,0
Aoifene,Kaiser,247,0,0
ArwenWindx,Wind Archer,260,0,0
Atargattis,Wind Archer,263,0,0
BoocaTooca,Buccaneer,236,0,0
BrackMamaCannon,Master,270,0,0
Cessation,Hero,279,0,0
Chiivess,Bishop,280,0,0
Cullis,Blade Master,279,0,0
Darkman4,Night Walker,265,0,0
Exabucc,Buccan,eer,0,0
ExcaliCrown,Hero,269,0,0
FairParadox,Hero,272,0,0
FakerlsU,Mercedes,260,0,0
FujiBow,Bowmaster,261,0,0
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,262,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,241,0,0
IHinoel,Wild Hunter,280,0,0
Toyo,Battle Mage,270,0,0
JaeiDeun,Pathfinder,277,0,0
Jayras,Dawn Warrior,267,0,0
Jettentat,Hero,261,0,0
KalePesto,Corsair,249,0,0
KannaWoo,Kanna,237,0,0
Kelci,Dawn Warrior,267,0,0
Ketiew,Shade,260,0,650
Kori312,Arch Mage (F/P,262,0,0
KptKrazz,Buccaneer,272,0,0
LegaSynn,Night Lord,277,0,0
LoneSwall,Shade,252,0,0
LuckyLager,Hero,252,0,100
Luumnia,Adele,262,0,0
Minterr,Buccaneer,269,0,0
MysticBish,Bishop,261,0,0
NoXArrow,Wind Archer,262,0,0
Nooks7070,Dawn Warrior,259,0,0
Oakees,Cadena,263,0,800
Ostentat,Mechanic,282,0,0
Pedelle,Adele,271,0,0
PhaseRus,Night Walker,261,0,0
Punx,Cadena,281,0,0
PyrusILma,Arch Mage (I/L,261,0,0
Rafff,Paladin,241,0,0
Robust,Shade,265,0,0
SatsumaB,Hayato,278,0,0
SerAmida,Hayato,265,0,0
SmollNippy,Bishop,268,0,650
SolEXCrownDawn,Warrior,252,0,0
StumblsRuThunderBreaker261,Unknown,261,0,0
Synchronite,Zero,259,0,0
