IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,287,"71,706",0
Smellymelons,Night Walker,286,"55,182",0
Zugan,Shadower,287,"52,162",800
SingularityX,Hero,286,"44,606",0
Sachdad,Kain,285,"43,299",0
AYoungPanda,Xenon,284,"42,860",0
AgriasOäks,Hero,285,"40,408",0
joosty,Dawn Warrior,283,"40,131",0
Kikuzato,Adele,285,"34,065",600
ShiroUni,Bishop,282,"33,856",400
NaroXY,Night Lord,284,"33,548",300
Chiivess,Bishop,284,"30,629",0
VÌlowe,Illium,285,"29,833",300
MysticalStep,Phantom,285,"24,709",0
ExiledCrown,Night Lord,283,"24,380",600
AgriásOaks,Adele,276,"22,667",700
CoronaHeroX,Hero,280,"22,495",0
Charmante,Kinesis,282,"22,439",0
shootemquile,Wind Archer,281,"22,003",400
Malfe,Night Walker,281,"21,113",700
Ostentat,Mechanic,284,"20,684",0
IHinoeI,Wild Hunter,285,"20,379",0
Couronne,Bowmaster,281,"20,066",900
PoeBow,Pathfinder,280,"20,020",0
dmgdawn,Dawn Warrior,284,"20,003",0
Zeeyoung,Hoyoung,277,"19,811",0
DWBob,Dawn Warrior,284,"17,361",300
Aillou,Arch Mage (I/L),282,"16,345",0
abb2be2,Angelic Buster,280,"16,040",0
Channel,Buccaneer,270,"15,483",0
JobuTupaky,Shadower,283,"15,383",600
AnnyWithaY,Cadena,282,"14,413",0
helloyesok,Cadena,262,"13,886",0
GreenHero,Hero,280,"13,439",0
WaterBender,Zero,279,"13,294",0
goatnuts,Night Walker,278,"12,638",0
Fieldsofice,Arch Mage (I/L),280,"12,570",0
ArkR1,Ark,277,"12,033",500
Fairies,Adele,276,"11,851",0
Prishes,Buccaneer,276,"11,850",0
Explosia,Bishop,280,"11,620",0
FindingRawrs,Pathfinder,281,"11,587",0
Student625,Bishop,283,"11,497",0
ShyGuy69,Demon Slayer,279,"10,906",0
Azaghal,Mihile,265,"10,695",0
Robust,Shade,266,"10,389",0
joyjoos,Buccaneer,265,"9,984",0
GUINS00S,Wind Archer,277,"9,908",0
Seihin,Dawn Warrior,275,"9,876",600
SadDuck,Blade Master,278,"9,465",300
darkman420,Night Walker,276,"9,181",300
Herfo,Hero,277,"8,686",0
LeSqueech,Bishop,280,"8,650",600
Dysturbed,Hero,273,"8,064",0
BrackMama,Cannon Master,275,"7,580",0
DaddyDoo,Marksman,276,"7,523",600
Maydis,Lynn,270,"7,498",0
LoveGoes,Night Lord,275,"7,437",300
Aggression,Buccaneer,262,"7,423",0
Invert,Battlemage,276,"6,507",500
MesolessHo,Shadower,275,"6,434",0
goatnuts,Kanna,265,"6,185",0
p8kerF4c3,Hero,268,"5,943",300
XxAvV,Adele,280,"5,522",300
Arestei,Phantom,272,"5,378",300
Synchronite,Zero,261,"5,281",300
ManasAB,Angelic Buster,275,"4,911",300
gyaradoof,Wind Archer,261,"4,810",700
PathJutsu,Pathfinder,276,"4,640",300
AdelePyrusX,Adele,278,"4,421",300
DroIo,Zero,273,"4,290",0
Winderoos,Wind Archer,274,"4,195",300
Snôwden,Bowmaster,276,"4,125",0
Sadweekend,Lara,272,"4,117",300
Hádal,Buccaneer,262,"3,404",0
Femtas,Arch Mage (F/P),273,"3,287",300
Kunfumita,Kanna,264,"3,258",300
discountMerc,Wind Archer,261,"3,131",300
NatsumeReiko,Lynn,266,"3,119",0
Jošh,Evan,272,"3,104",300
eAnNyah,Wind Archer,270,"3,052",300
Dysturbed,Phantom,265,"2,950",0
Demonictized,Demon Avenger,250,"2,753","1,000"
Sneakochair,Shadower,269,"2,233",300
KalePesto,Corsair,256,"2,177",0
Maokie,Hayato,263,"1,610",0
ExcaliCrown,Bishop,262,"1,518",600
CocoaPebbles,Night Walker,260,"1,300",0
ThatsoEvan,Evan,271,"1,289",300
Susah,Bowmaster,277,"1,247",300
Fairysusu,Mercedes,271,"1,031",300
5101520,Zero,260,765,300
momloveer,Night Lord,262,594,0
PuppyCake,Paladin,268,588,300
Ketiew,Shade,260,557,0
SweetPlatano,Bishop,265,458,0
Hikiniku,Dawn Warrior,270,176,300
0rvius,Illium,266,0,0
AlynaH,Corsair,267,0,0
Andiology,Hero,279,0,300
Aoifene,Kaiser,248,0,0
Arsteia,Bowmaster,281,0,"1,000"
DouBlaze,Shadower,266,0,400
