IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,285,"57,082",450
Zugan,Shadower,285,"43,015",0
SingularityX,Hero,285,"36,810",0
AgriasOäks,Hero,283,"34,215",0
niffyWhiff,Wind Archer,285,"31,900",100
Smellymelons,Night Walker,285,"31,239",0
AYoungPanda,Xenon,281,"29,432","1,000"
ShiroUni,Bishop,280,"26,211",0
HeWhoBuccs,Buccaneer,280,"25,636",0
Osmosium,Hero,281,"25,046",0
NaroXY,Night Lord,282,"24,452",100
AIivya,Bishop,283,"23,106",0
joosty,Dawn Warrior,281,"22,077",0
Cessation,Hero,280,"20,359",0
AgriásOaks,Adele,276,"19,999",0
FairyErda,Mercedes,280,"19,750",800
SmackYaDad,Kain,283,"19,517",0
StumblsRumbl,Thunder Breaker,261,0,0
Synchronite,Zero,260,0,0
TigerThorn,Kanna,255,0,0
Tipku,Adele,262,0,0
URAQT,Angelic Buster,253,0,0
Maokie,Hayato,262,0,0
Waowa,Wind Archer,261,0,0
Wexam,Mercedes,250,0,0
winterwinta,Phantom,273,0,0
Xepyks,Hero,265,0,0
Antcbb,Aran,260,0,0
blkicecoffee,Bowmaster,280,0,0
bunchwalk,Night Walker,263,0,0
geminiseason,Shadower,256,0,0
gomahao,Marksman,286,0,0
jsphbish,Bishop,267,0,0
Kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
slimreboot,Demon Slayer,257,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
xillusionZ,Pathfinder,262,0,0
XxMakgeolli,Night Lord,256,0,0
Charmante,Kinesis,280,"19,373",0
MysticalStep,Phantom,283,"17,893",0
Zeeyoung,Hoyoung,276,"17,767",0
shootemquile,Wind Archer,279,"16,683",0
pokguy,Arch Mage (I/L),275,"16,356",0
warIock,Night Lord,279,"15,768",0
Ostentat,Mechanic,283,"14,847",0
CoronaHeroX,Hero,277,"14,450",0
IHinoeI,Wild Hunter,281,"14,190",0
ExiledCrown,Night Lord,281,"14,071",0
Aillou,Arch Mage (I/L),280,"13,514",0
Couronne,Bowmaster,279,"13,371",0
MauricioS,Bishop,278,"12,983","1,000"
XxAvV,Adele,278,"12,834",0
JoniPally,Paladin,279,"12,758",0
PoeBow,Pathfinder,277,"12,365",0
helloyesok,Cadena,261,"12,344",0
SomaSet,Dark Knight,282,"12,321",0
FindingRawrs,Pathfinder,280,"11,936",200
goatnuts,Night Walker,274,"11,280",0
Explosia,Bishop,276,"10,680",0
Fieldsofice,Arch Mage (F/P),age,5,"10,277"
JobuTupaky,Shadower,281,"10,123",350
Malfe,Night Walker,279,"9,773",0
Channel,Buccaneer,262,"9,519",0
EightLD,Buccaneer,273,"9,107",0
Chiivess,Bishop,280,"9,074",0
Gôma,Bowmaster,263,"8,923",0
Azaghal,Mihile,263,"8,860",0
GreenHero,Hero,275,"8,553",0
Iyazy,Wind Archer,280,"8,385",0
Student625,Bishop,280,"8,372",0
Seihin,Dawn Warrior,270,"8,101",400
KptKrazz,Buccaneer,273,"8,033",0
WaterBender,Zero,275,"7,853",0
Coronadena,Cadena,274,"7,517",100
Arsteia,Bowmaster,277,"7,395","1,000"
DouBlaze,Shadower,263,"7,062",0
bunch0,Illium,282,"7,035","1,000"
xMooymoo,Bishop,270,"6,885",0
jin99,Adele,276,"6,791",100
AnnyWithaY,Cadena,280,"6,090",200
Aggression,Buccaneer,262,"5,707",0
Ixeon,Paladin,273,"5,610",100
OJeezOWeez,Arch Mage (F/P),276,"5,537",100
Kori312,Arch Mage (F/P),264,"4,794",200
buffabplz,Hayato,250,"4,585",0
ShyGuy69,Demon Slayer,275,"4,577",0
joyjoos,Buccaneer,261,"4,358",100
Maokie,Arch Mage (I/L),268,"4,207",400
LeSqueech,Bishop,272,"3,724",100
Sadweekend,Lara,270,"3,675",300
goatnuts,Kanna,260,3.484,100
Herfo,Hero,268,"3,453",400
Andiology,Hero,272,"3,435",0
AdelePyrusX,Adele,276,"3,407",100
PathJutsu,Pathfinder,272,"2,987",100
Hádal,Buccaneer,261,"2,923",0
Femtas,Arch Mage (F/P),269,"2,912",100
Camill97,Adele,264,"2,752",100
MightyTWY,Night Walker,267,"2,656",100
Demonictized,Demon Avenger,250,"2,648","1,000"
Arsteia,Phantom,264,"2,439",100
XRtheodore,Night Lord,270,"2,418",0
Akunaii,Blade Master,267,"2,338",0
Snôwden,Bowmaster,271,"2,275",0
Wharchers,Wind Archer,272,"2,265",100
Maydis,Lynn,260,"2,222",0
Lospalos,Hero,270,"2,108",100
gyaradoof,Wind Archer,260,"1,999",250
xlMeowIesslx,Lynn,255,"1,574",100
MesolessHo,Shadower,266,1.412,100
eAnNyah,Wind Archer,268,"1,363",100
SmollNippy,Bishop,269,"1,285",350
lcysilk,Night Lord,262,"1,270",100
Kunfumita,Kanna,264,"1,258",200
Jošh,Evan,270,"1,254",100
discountMerc,Wind Archer,260,1.174,0
Susah,Bowmaster,273,913,100
Invert,Battlemage,271,709,100
SuhcMyDawn,Dawn Warrior,269,624,100
PuppyCake,Paladin,267,575,100
Ketiew,Shade,260,503,100
Faûna,Lynn,238,226,250
Sentanapica,Bishop,206,169,0
0rvius,Illium,266,0,0
Aoifene,Kaiser,247,0,0
ArkR1,Ark,275,0,0
ArwenWindx,Wind Archer,260,0,0
Atargattis,Wind Archer,263,0,0
BobingtonNL,Night Lord,268,0,0
BrackMama,Cannon Master,270,0,0
BuccaR1,Buccaneer,261,0,0
Cullis,Blade Master,279,0,0
DaddyDoo,Marksman,270,0,300
darkman420,Night Walker,266,0,0
ExcaliCrown,Hero,270,0,0
FairParadox,Hero,272,0,0
FakerIsU,Mercedes,261,0,0
FujiBow,Bowmaster,261,0,0
GUINS00S,Wind Archer,273,0,100
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,262,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,243,0,0
loyo,Battlemage,270,0,0
