IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,285,"50,532",0
SingularityX,Hero,285,"40,010",0
gomahao,Marksman,286,"37,900",0
AgriasOaks,Hero,284,"36,656",0
Bmellymel,Night Walker,285,"36,155",0
AYoungPan,Xenon,281,"31,095",0
buncho,illium,283,"30,257",250
niffyhiff,Wind Archer,285,"30,035",100
Zugan,Shadower,285,"29,466",0
NaroXY,Night Lord,283,"27,250",0
ShiroUni,Bishop,280,"26,121",0
Osmosium,Hero,281,"25,707",0
joosty,Dawn Warrior,281,"25,197",0
Alivya,Bishop,284,"23,798",0
Cessation,Hero,280,"20,423",0
HeWhoBuc,Unknown,0,0,0
SmackYaD,Kain,283,"18,338",0
SatsumaB,Hayato,278,0,0
SerAmida,Hayato,265,0,0
ShyGuy69,Demon Slayer,276,0,0
Snooted,Wind Archer,270,0,0
Snowden,Bowmaster,271,0,0
SolEXCrownDawn,Warrior,252,0,0
SomaSet,Dark Knight,282,0,0
StumblsRuThunderBreaker261,Unknown,0,0,0
Susah,Bowmaster,274,0,100
TigerThorn,Kanna,255,0,0
Tipku,Adele,262,0,0
URAQT,Angelic Buster,253,0,0
Walkees,Unknown,0,0,0
Waokie,Hayato,262,0,0
Waowa,Wind Archer,262,0,0
WaterBend,Zero,276,0,0
Winterwinta,Phantom,273,0,0
Xepyks,Hero,266,0,0
antcbb,Aran,260,0,0
blkicecoffee,Bowmaster,280,0,0
bunchwalk,NightWalker,263,0,0
discountMe,Wind Archer,260,0,0
geminisea,Shadower,256,0,0
jsphbish,Bishop,269,0,0
kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
slimreboot,Demon Slayer,258,0,0
sluhgs,Angelic Buster,263,0,0
sut1ven,Dawn Warrior,275,0,0
xIllusionZ,Pathfinder,262,0,0
Charmante,Kinesis,281,"18,083",0
IHinoel,Wild Hunter,281,"17,846",0
AgriasOaks,Adele,276,"17,774",0
pokguy,Arch Mage (I/L),276,"17,773",0
Zeeyoung,Hoyoung,276,"16,980",0
FairyErda,Mercedes,280,"16,388","1,000"
Ostentat,Mechanic,283,"15,737",0
lyazy,Wind Archer,281,"14,968",0
