IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,283,"37,748",800
Goma,Marksman,284,"30,092",0
Zugan,Shadower,284,"29,606",0
SingularityX,Hero,282,"28,546",250
Smellymel,Night Walker,283,"27,594",0
Exor,Night Lord,281,"27,278",0
Agriasoaks,Hero,282,"25,054",0
buncho,illiurn,281,"21,940",0
AYoungPan,Xenon,280,"20,480",400
MysticalStep,Phantom,282,"19,935",0
NaroXY,Night Lord,281,"17,799",200
HeWhoBuc,Buccaneer,279,"16,654",0
AgriasOaks,Adele,276,"16,224",0
FujiNW,Night Walker,278,"16,213",0
ShiroUni,Bishop,278,"15,892",200
Zeeyoung,Hoyoung,276,"15,501",0
Osmosium,Hero,278,"13,402",0
Waowa,Wind Archer,260,0,0
Wexam,Mercedes,250,0,0
Xepyks,Hero,262,0,0
abowtym,Bowmaster,250,0,0
antchb,Aran,260,0,0
bunchwalk,Night Walker,262,0,0
coolcat66,Arch Mage(F/P,278,0,0
discountMe,Wind Archer,257,0,0
geminisea,Shadower,253,0,0
joosty,Dawn Warrior,277,0,0
kesmaree,Adele,264,0,0
niervaren,Kanna,247,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
sadweeken,Lara,267,0,0
sluhgs,Angelic Buster,263,0,0
sutiven,Dawn Warrior,275,0,0
xIllusionZ,Pathfinder,262,0,0
xxMakgeolli,Night Lord,256,0,0
Oppo,Hero,281,0,0
oWill,Night Lord,274,0,0
blkicecoffee,Bowmaster,280,"12,405",0
shootemqu,Wind Archer,277,"12,297",250
SmackYaD,Kain,281,"12,112",0
Explosia,Bishop,275,"11,311",0
FindingRa,Pathfinder,279,"11,127",200
FairyErda,Mercedes,280,"10,980",0
LegaSynn,Night Lord,277,"10,859",0
Zunea77,Shadower,282,"10,775",0
helloyesok,Cadena,261,"10,435",0
ExiledCrown,Night Lord,278,"9,849",200
IHinoel,Wild Hunter,277,"9,806",0
Ostentat,Mechanic,281,"9,711",0
Charmante,Kinesis,279,"9,694",300
PoeBow,Pathfinder,275,"9,604",0
SatsumaB,Hayato,278,"9,255",0
Alivya,Bishop,280,"9,171",0
JobuTupaky,Shadower,280,"9,170",300
warlock,Night Lord,274,"8,954",0
Channel,Buccaneer,261,"8,531",0
Goma,Bowmaster,262,"8,226",0
XxAW,Adele,276,"8,102",0
ArkR1,Ark,275,"7,967",200
Couronne,Bowmaster,277,"7,963",0
