IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,284,"44,394",450
Zugan,Shadower,285,"34,338",450
Góma,Marksman,284,"33,754",0
Smellymelons,Night Walker,283,"30,888",0
SingularityX,Hero,283,"29,386",350
bunch0,Illium,281,"27,977","1,000"
AgriasOäks,Hero,283,"26,088",0
AYoungPanda,Xenon,280,"23,255",800
MysticalStep,Phantom,282,"19,787",0
ShiroUni,Bishop,278,"17,651",400
HeWhoBuccs,Buccaneer,279,"17,609",0
NaroXY,Night Lord,282,"16,727",0
Zeeyoung,Hoyoung,276,"16,702",0
Osmosium,Hero,279,"15,743",0
xMooymoo,Bishop,268,"15,297",0
AgriásOaks,Adele,276,"14,778",0
shootemquile,Wind Archer,277,"12,469",400
abowtym,Bowmaster,250,0,0
Antcbb,Aran,260,0,0
bunchwalk,Night Walker,ker,5,0
geminiseason,Shadower,253,0,0
JoniPally,Paladin,273,0,0
jsphbish,Bishop,251,0,100
Kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
Sadweekend,Lara,267,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
xillusionZ,Pathfinder,262,0,0
XxMakgeolli,Night Lord,256,0,0
ExiledCrown,Night Lord,279,"12,168",0
coolcat66,Arch Mage (F/P),279,"12,078",0
joosty,Dawn Warrior,279,"11,865",0
Charmante,Kinesis,280,"11,821",0
AIivya,Bishop,281,"11,442",0
FindingRawrs,Pathfinder,279,"11,380",550
FairyErda,Mercedes,280,"11,198",450
Cessation,Hero,276,"11,077",0
PoeBow,Pathfinder,275,"10,734",0
blkicecoffee,Bowmaster,280,"10,554",0
helloyesok,Cadena,261,"10,251",0
SomaSet,Dark Knight,281,"10,221",0
SmackYaDad,Kain,282,"9,847",0
Couronne,Bowmaster,277,"9,777",800
JobuTupaky,Shadower,281,"9,511",550
Ostentat,Mechanic,282,"9,109",0
lyazy,Wind Archer,277,"8,783",100
IHinoeI,Wild Hunter,279,"8,547",0
Channel,Buccaneer,261,"8,545",0
CoronaHeroX,Hero,276,"8,430",0
warlock,Night Lord,275,"8,254",0
XxAvV,Adele,276,"7,640",0
MauricioS,Bishop,273,"7,164",650
WaterBender,Zero,273,"6,942",0
Coronadena,Cadena,271,"6,895",450
ArkR1,Ark,275,"6,758",300
Azaghal,Mihile,262,"6,452",0
Robust,Shade,265,"6,304",0
Student625,Bishop,278,"6,270",0
EightLD,Buccaneer,271,"6,229",0
goatnuts,Night Walker,270,"6,169",0
AnnyWithaY,Cadena,278,"5,882",100
Aggression,Buccaneer,262,"5,706",0
Seihin,Dawn Warrior,265,"5,465",450
FairParadox,Hero,270,"5,425",100
Gôma,Bowmaster,262,"5,115",0
Ralogreenday,Phantom,271,"4,598",450
DouBlaze,Shadower,261,"4,456",0
buffabplz,Hayato,250,"4,093",0
Arsteia,Bowmaster,275,"3,989","1,000"
goatnuts,Kanna,260,"3,477",0
Maokie,Arch Mage (I/L),264,"2,856",0
Salò,Dawn Warrior,265,"2,820",0
FujiBow,Bowmaster,260,"2,740",100
AdelePyrusX,Adele,276,"2,586",200
LoveGoes,Night Lord,267,"2,517",100
Demonicitized,Demon Avenger,250,"2,477","1,000"
Kunfumita,Kanna,264,"2,469",0
GUINS00S,Wind Archer,269,"2,327",100
joyjoos,Buccaneer,261,"2,326",300
ShyGuy69,Demon Slayer,272,"2,114",100
OJeezOWeez,Arch Mage (F/P),270,"2,003",100
BuccaR1,Buccaneer,261,"1,917",250
discountMerc,Wind Archer,259,"1,787",100
Wharchers,Wind Archer,268,"1,750",100
lcysilk,Night Lord,261,"1,712",100
Femtas,Arch Mage (F/P),266,"1,647",100
DaddyDoo,Marksman,264,"1,331",450
Snôwden,Bowmaster,268,"1,212",0
PathJutsu,Pathfinder,269,"1,137",100
Maokie,Hayato,262,"1,128",0
MauricioSbuc,Buccaneer,260,"1,001",650
Akunaii,Blade Master,263,982,100
Andiology,Hero,265,913,100
eAnNyah,Wind Archer,266,882,100
Jettentat,Hero,261,823,100
Klobrille,Bishop,272,742,100
Attriage,Shadower,250,735,0
Tipku,Adele,253,708,100
Herfo,Hero,263,667,350
SmollNippy,Bishop,264,541,"1,000"
Susah,Bowmaster,269,531,100
gyaradoof,Wind Archer,243,454,300
StumblsRumbl,Thunder Breaker,261,453,100
Nôkt,Bishop,257,319,100
PuppyCake,Paladin,264,312,100
NefertariViv,Mercedes,254,251,650
SuhcMyDawn,Dawn Warrior,261,217,100
0rvius,Illium,266,0,0
Aillou,Arch Mage (I/L),278,0,0
Aoifene,Kaiser,247,0,0
Arkeustwo,Ark,260,0,0
ArwenWindx,Wind Archer,258,0,0
Atargattis,Wind Archer,261,0,0
