IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,283,"37,126",350
Góma,Marksman,283,"31,180",0
Zugan,Shadower,284,"29,978",0
SingularityX,Hero,282,"27,959",550
Smellymelons,Night Walker,282,"26,264",0
AgriasOäks,Hero,282,"25,241",0
MysticalStep,Phantom,281,"20,905",0
bunch0,Illium,281,"17,531",0
ShiroUni,Bishop,278,"16,783",200
AYoungPanda,Xenon,280,"15,541",550
NaroXY,Night Lord,281,"15,504",250
Zeeyoung,Hoyoung,276,"15,288",0
coolcat66,Arch Mage (F/P),277,"15,250",0
HeWhoBuccs,Buccaneer,278,"15,028",0
FujiNW,Night Walker,277,"14,901",0
AgriásOaks,Adele,276,"14,059",0
Zunea77,Shadower,282,"13,741",100
ToNhon,Kanna,278,0,0
Tonigiri,Shadower,268,0,0
URAQT,Angelic Buster,253,0,0
Waowa,Wind Archer,260,0,0
Wexam,Mercedes,250,0,0
Wharchers,Wind Archer,264,0,0
Xepyks,Hero,262,0,0
abowtym,Bowmaster,250,0,0
Antcbb,Aran,260,0,0
bunchwalk,Night Walker,262,0,0
discountMerc,Wind Archer,255,0,0
geminiseason,Shadower,253,0,0
Kesmaree,Adele,264,0,0
niervaren,Kanna,247,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
xAzil,Aran,261,0,0
xillusionZ,Pathfinder,262,0,0
XxMakgeolli,Night Lord,256,0,0
blkicecoffee,Bowmaster,280,"12,148",0
SmackYaDad,Kain,281,"12,024",0
FairyErda,Mercedes,280,"11,538",350
Explosia,Bishop,275,"11,005",0
Ostentat,Mechanic,281,"10,971",300
0rvius,Illium,266,"10,790",0
SatsumaBushi,Hayato,278,"10,695",0
shootemquile,Wind Archer,276,"10,503",300
joosty,Dawn Warrior,277,"10,451",250
helloyesok,Cadena,261,"10,338",0
ExiledCrown,Night Lord,278,"10,119",100
LegaSynn,Night Lord,277,"10,057",0
PoeBow,Pathfinder,275,"10,048",0
FindingRawrs,Pathfinder,279,"9,769",100
Charmante,Kinesis,279,"9,395",300
Alivya,Bishop,280,"9,041",0
IHinoeI,Wild Hunter,277,"8,605",0
JobuTupaky,Shadower,280,"8,529",100
XxAvV,Adele,276,"8,339",0
Channel,Buccaneer,261,"8,257",200
Osmosium,Hero,277,"8,175",0
Aillou,Arch Mage (I/L),277,"8,174",0
oWill,Night Lord,274,"7,490",0
ArkR1,Ark,274,"7,241",100
Robust,Shade,265,"7,122",0
Azaghal,Mihile,262,"7,084",0
goatnuts,Night Walker,268,"6,799",0
Coronadena,Cadena,270,"6,523",200
SIMP4CHAEWON,Wind Archer,276,"6,316",100
SomaSet,Dark Knight,280,"6,279",0
Snooted,Wind Archer,268,"6,240",0
Student625,Bishop,278,"6,183",0
WaterBender,Zero,272,"6,009",0
Chiivess,Bishop,277,"5,768",0
CoronaHeroX,Hero,275,"5,526",100
Gôma,Bowmaster,262,"5,424",0
MauricioS,Bishop,271,"5,372",200
FairParadox,Hero,268,"5,272",100
warlock,Night Lord,273,"5,178",0
Aggression,Buccaneer,262,"5,063",100
Seihin,Dawn Warrior,264,"4,965",200
Fieldsofice,Arch Mage (I/L),275,"4,872",100
AnnyWithaY,Cadena,277,"4,726",200
Jayras,Dawn Warrior,267,"4,056",100
buffabplz,Hayato,250,"3,840",0
joyjoos,Buccaneer,261,"3,507",200
DouBlaze,Shadower,261,"3,392",100
Equiness,Hoyoung,263,"3,221",100
AdelePyrusX,Adele,275,"3,093",100
Sadweekend,Lara,267,"2,900",100
goatnuts,Kanna,260,"2,889",100
Demonicitized,Demon Avenger,250,"2,453",350
Maokie,Arch Mage (I/L),263,"2,430",100
JoniPally,Paladin,270,"2,307",0
LoveGoes,Night Lord,266,"2,267",100
FujiBow,Bowmaster,260,"2,172",0
PathJutsu,Pathfinder,266,"1,897",100
BuccaR1,Buccaneer,261,"1,505",0
Maokie,Hayato,262,"1,222",100
darkman420,Night Walker,262,"1,212",0
Invert,Battlemage,268,"1,210",200
DaddyDoo,Marksman,262,"1,175",300
OJeezOWeez,Arch Mage (F/P),267,"1,170",100
MauricioSbuc,Buccaneer,260,912,300
BobingtonNL,Night Lord,261,862,100
Akunaii,Blade Master,261,858,100
Jettentat,Hero,261,824,250
PhaseRus,Night Walker,261,799,0
eAnNyah,Wind Archer,264,768,100
ArwenWindx,Wind Archer,254,748,0
Herfo,Hero,261,666,200
Klobrille,Bishop,270,631,100
SmollNippy,Bishop,262,565,"1,000"
Susah,Bowmaster,266,456,100
DrillPark,Shadower,254,386,100
Ketiew,Shade,260,227,100
PuppyCake,Paladin,261,210,100
SuhcMyDawn,Dawn Warrior,252,197,100
Andiology,Hero,262,0,650
Aoifene,Kaiser,247,0,0
Arkeustwo,Ark,260,0,0
Arsteia,Bowmaster,273,0,0
Atargattis,Wind Archer,261,0,0
BISHOPerbia,Bishop,260,0,0
Blowmysoup,Wind Archer,236,0,0
BrackMama,Cannon Master,270,0,0
Couronne,Bowmaster,277,0,0
Cullis,Blade Master,279,0,0
DeadlyBlaze,Blaze Wizard,261,0,0
EightLD,Buccaneer,271,0,0
EmiYusá,Dawn Warrior,232,0,0
ExaBucc,Buccaneer,260,0,0
ExcaliCrown,Hero,268,0,0
Exor,Night Lord,281,0,0
FakerIsU,Mercedes,256,0,0
FujiHero,Hero,246,0,0
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,261,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,241,0,0
HerosHonor,Hero,250,0,0
Hádal,Buccaneer,260,0,0
IEatPills,Thunder Breaker,251,0,0
loyo,Battlemage,270,0,0
JaeiDeun,Pathfinder,277,0,0
jin99,Adele,275,0,0
KalePesto,Corsair,245,0,0
KannaWoopit,Kanna,237,0,0
Kelci,Dawn Warrior,267,0,0
Kori312,Arch Mage (F/P),262,0,0
