IGN,CLASS,LVL,CULVERT,FLAG
Góma,Marksman,283,"31,070",0
Zugan,Shadower,284,"29,682",0
NandoLab,Night Walker,282,"29,480",450
AgriasOäks,Hero,282,"28,893",0
SingularityX,Hero,282,"27,344",0
Smellymelons,Night Walker,282,"26,862",0
STDBalls,Illium,281,"26,289",0
Kyenesis,Kinesis,283,"24,865",0
BuriaI,Dawn Warrior,282,"22,893",0
AYoungPanda,Xenon,280,"20,629",450
tomotokun,Thunder Breaker,282,"18,089",800
ShiroUni,Bishop,278,"16,089",0
HeWhoBuccs,Buccaneer,278,"15,830",0
MysticalStep,Phantom,281,"15,359",0
FujiNW,Night Walker,276,"15,206",0
Zeeyoung,Hoyoung,276,"14,647",0
NaroXY,Night Lord,281,"14,097",0
Rigumaru,Hayato,248,0,0
SerAmidamaru,Hayato,265,0,0
ShaquilleON,Dawn Warrior,261,0,0
SingleStep,Shadower,270,0,0
SmittyKitty,Hoyoung,262,0,0
SmollNippy,Bishop,261,0,0
Snooted,Wind Archer,268,0,0
SolExCrown,Dawn Warrior,251,0,0
SolExCrown,Dawn Warrior,250,0,0
StumblsRumbl,Thunder Breaker,260,0,0
Synchronite,Zero,255,0,0
TigerThorn,Kanna,255,0,0
ToNhon,Kanna,278,0,0
Tonigiri,Shadower,268,0,0
Twynkles,Dawn Warrior,250,0,0
URAQT,Angelic Buster,253,0,0
Waowa,Wind Archer,260,0,0
Wexam,Mercedes,250,0,0
Xepyks,Hero,262,0,0
abowtym,Bowmaster,250,0,0
Antcbb,Aran,260,0,0
bunch0,Illium,281,0,0
bunchwalk,Night Walker,261,0,0
Fwed,Bishop,260,0,0
geminiseason,Shadower,253,0,0
Kesmaree,Adele,264,0,0
niervaren,Kanna,247,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),273,0,0
Sluhgs,Angelic Buster,263,0,0
Sut1ven,Dawn Warrior,275,0,0
warlock,Night Lord,271,0,0
XAzil,Aran,261,0,0
XxMakgeolli,Night Lord,256,0,0
coolcat66,Arch Mage (F/P),277,"13,774",0
Osmosium,Hero,277,"11,921",0
FairyErda,Mercedes,279,"11,465",300
SatsumaBushi,Hayato,277,"11,207",0
blkicecoffee,Bowmaster,280,"11,077",0
helloyesok,Cadena,261,"10,392",650
Ostentat,Mechanic,281,"10,148",250
SmackYaDad,Kain,281,"10,142",0
AgriasOäks,Adele,276,"10,129",0
Charmante,Kinesis,279,"9,731",250
Alivya,Bishop,280,"9,506",0
FindingRawrs,Pathfinder,278,"9,378",0
PoeBow,Pathfinder,274,"8,915",0
joosyyu,Dawn Warrior,276,"8,842",0
LegaSynn,Night Lord,276,"8,779",0
shootemquile,Wind Archer,276,"8,534",400
Aillou,Arch Mage (I/L),277,"8,501",0
Channel,Buccaneer,261,"8,108",0
Couronne,Bowmaster,276,"8,026",0
Góma,Bowmaster,261,"7,799",0
oWill,Night Lord,273,"7,775",0
XxAvV,Adele,275,"7,158",0
