IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,287,"69,410",0
Smellymelons,Night Walker,286,"51,986",0
Zugan,Shadower,287,"50,101",0
bunch0,Illium,285,"43,581",0
AYoungPanda,Xenon,284,"42,995","1,000"
Sachdad,Kain,285,"41,748",0
joosty,Dawn Warrior,283,"40,809",0
AgriasOäks,Hero,285,"39,165",0
Kikuzato,Adele,285,"35,413",900
VÌlowe,Illium,285,"35,130",500
ShiroUni,Bishop,282,"34,835",500
SingularityX,Hero,286,"33,472",0
Chiivess,Bishop,284,"28,201",0
ExiledCrown,Night Lord,283,"28,171",800
MysticalStep,Phantom,285,"28,060",0
Charmante,Kinesis,282,"25,941",0
AgriásOaks,Adele,276,"24,351",0
Raffff,Paladin,248,0,0
Recordcake,Pathfinder,273,0,0
SatsumaBushi,Hayato,278,0,0
SerAmidamaru,Hayato,266,0,0
Snooted,Wind Archer,272,0,0
SuhcMyDawn,Dawn Warrior,274,0,0
TigerThorn,Kanna,255,0,0
URAQT,Angelic Buster,260,0,0
Waowa,Wind Archer,262,0,0
WaterBender,Zero,278,0,0
Wexam,Mercedes,261,0,0
Wharchers,Wind Archer,277,0,0
Winderoos,Wind Archer,274,0,0
winterwinta,Phantom,273,0,0
XRtheodore,Night Lord,274,0,0
YeRangE,Hero,263,0,0
YoItsOP,Blade Master,278,0,0
Antcbb,Aran,263,0,0
bunchwalk,Night Walker,263,0,0
discountMerc,Wind Archer,261,0,0
geminiseason,Shadower,261,0,0
Kesmaree,Adele,264,0,0
lcysilk,Night Lord,265,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),278,0,0
xillusionZ,Pathfinder,62,0,0
CoronaHeroX,Hero,280,"23,044",0
Couronne,Bowmaster,281,"20,829","1,000"
shootemquile,Wind Archer,281,"19,977",700
Ostentat,Mechanic,284,"19,630",0
Malfe,Night Walker,280,"19,118",0
Zeeyoung,Hoyoung,277,"19,116",0
Arsteia,Bowmaster,281,"18,388","1,000"
PoeBow,Pathfinder,280,"18,345",0
dmgdawn,Dawn Warrior,284,17.863,0
Channel,Buccaneer,270,"17,173",0
IHinoeI,Wild Hunter,285,"16,782",0
XxAvV,Adele,280,"16,608",0
Aillou,Arch Mage (I/L),281,"15,018",0
abb2be2,Angelic Buster,280,"14,894",0
Fieldsofice,Arch Mage (I/L),280,"14,823",0
Explosia,Bishop,280,"14,153",0
helloyesok,Cadena,262,"13,980",0
GreenHero,Hero,280,13.665,0
Fairies,Adele,276,"12,758","1,000"
OnaSensei,Zero,280,"12,752",0
ArkR1,Ark,277,"12,711",800
EightLD,Buccaneer,279,"12,611",0
Student625,Bishop,283,"12,448",0
AnnyWithaY,Cadena,281,"12,375",0
Prishes,Buccaneer,276,"11,182",0
Azaghal,Mihile,265,"11,026",0
joyjoos,Buccaneer,265,"10,371",0
JobuTupaky,Shadower,283,"10,208",500
Robust,Shade,266,"10,023",0
Seihin,Dawn Warrior,275,"9,995",800
GUINS00S,Wind Archer,her,10,"9,921"
goatnuts,Night Walker,278,"9,877",0
SadDuck,Blade Master,278,"9,687",300
OJeezOWeez,Arch Mage (F/P),age,10,"9,321"
ShyGuy69,Demon Slayer,279,"8,979",0
Herfo,Hero,277,"8,591",0
Maydis,Lynn,270,"7,735",0
darkman420,Night Walker,276,"7,654",300
LeSqueech,Bishop,280,"7,619",300
DaddyDoo,Marksman,276,"7,598",700
BrackMama,Cannon Master,275,"7,596",0
ExcaliCrown,Hero,275,"7,593",0
FairyErda,Mercedes,281,"7,569",0
Aggression,Buccaneer,262,"6,740",0
FindingRawrs,Pathfinder,281,"6,722",0
p8kerF4c3,Hero,268,"6,722",300
Dysturbed,Hero,273,"6,693",0
MesolessHo,Shadower,275,"6,673",0
Invert,Battlemage,276,"6,639",400
LoveGoes,Night Lord,275,"6,131",300
AdelePyrusX,Adele,278,"5,967",300
Arestei,Phantom,271,"5,243",300
goatnuts,Kanna,265,"5,181",0
Synchronite,Zero,261,"4,869",500
Snôwden,Bowmaster,276,"4,698",0
gyaradoof,Wind Archer,261,"4,529",300
undísputed,Hayato,271,"4,510",0
buffabplz,Hayato,250,"4,322",0
Sadweekend,Lara,272,"4,239",400
ManasAB,Angelic Buster,275,"4,232",300
DroIo,Zero,272,"4,130",300
DongSoldier,Dawn Warrior,271,"4,113",400
eAnNyah,Wind Archer,270,"3,986",300
SmollNippy,Bishop,274,"3,809","1,000"
Jošh,Evan,272,"3,622",300
NatsumeReiko,Lynn,266,"3,484",0
Femtas,Arch Mage (F/P),273,"3,222",300
Dysturbed,Phantom,265,"2,834",0
Demonictized,Demon Avenger,250,"2,785","1,000"
CocoaPebbles,Night Walker,260,"2,216",300
KalePesto,Corsair,256,"2,205",0
Sneakochair,Shadower,269,"1,889",300
Andiology,Hero,278,"1,801",300
ExceIlent,Blade Master,268,"1,587","1,000"
ExcaliCrown,Bishop,262,"1,579",700
GeckÕ,Blaze Wizard,265,"1,513",300
Fairysusu,Mercedes,271,"1,478",0
Susah,Bowmaster,277,"1,414",300
Maokie,Hayato,263,"1,279",0
ThatsoEvan,Evan,271,"1,278",300
Ketiew,Shade,260,599,0
momloveer,Night Lord,262,462,300
PuppyCake,Paladin,268,434,400
SweetPlatano,Bishop,265,347,300
Hikiniku,Dawn Warrior,270,264,300
0rvius,Illium,266,0,0
AlynaH,Corsair,267,0,0
Aoifene,Kaiser,248,0,0
ArwenWindx,Wind Archer,267,0,0
Atargattis,Wind Archer,266,0,0
BuccaR1,Buccaneer,261,0,0
Camill97,Adele,270,0,0
Cessation,Hero,285,0,0
Chuckfoo,Hero,272,0,0
Cullis,Blade Master,279,0,0
DWBob,Dawn Warrior,284,0,0
Dargondur,Paladin,265,0,0
DouBlaze,Shadower,266,0,800
Erofire,Arch Mage (F/P),264,0,0
FairParadox,Hero,272,0,0
FakerIsU,Mercedes,265,0,0
FujiBow,Bowmaster,261,0,0
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,262,0,0
GiftStory,Buccaneer,265,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,243,0,0
ILoveSusah,Bowmaster,260,0,0
JaeiDeun,Pathfinder,277,0,0
Jayras,Dawn Warrior,267,0,0
