IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,286,"67,283",600
Zugan,Shadower,287,"50,188",800
Smellymelons,Night Walker,286,"46,992",0
AYoungPanda,Xenon,284,"41,548",0
joosty,Dawn Warrior,283,"40,387",0
AgriasOäks,Hero,285,"38,826",0
Sachdad,Kain,285,"37,238",0
SingularityX,Hero,286,"35,920",0
JoniPally,Paladin,285,"35,465",0
bunch0,Illium,285,"32,413",0
ShiroUni,Bishop,282,"30,462",400
VÌlowe,Illium,285,"29,606",300
HeWhoBuccs,Buccaneer,282,"29,070",0
Cessation,Hero,285,"28,803",0
ExiledCrown,Night Lord,283,"27,266",600
Charmante,Kinesis,282,"24,798",0
shootemquile,Wind Archer,281,"23,604",0
SatsumaBushi,Hayato,278,0,0
SerAmidamaru,Hayato,266,0,0
Shiroidol,Angelic Buster,260,0,0
ThatsoEvan,Evan,271,0,0
TigerThorn,Kanna,255,0,0
URAQT,Angelic Buster,260,0,0
Waowa,Wind Archer,262,0,0
WaterBender,Zero,278,0,0
Wexam,Mercedes,260,0,0
Wharchers,Wind Archer,277,0,0
Winderoos,Wind Archer,272,0,0
winterwinta,Phantom,273,0,0
XRtheodore,Night Lord,274,0,0
bunchwalk,Night Walker,263,0,0
discountMerc,Wind Archer,261,0,0
fdfdfgea,Demon Slayer,265,0,0
geminiseason,Shadower,261,0,0
joyjoos,Buccaneer,265,0,0
Kesmaree,Adele,264,0,0
momloveer,Night Lord,261,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),278,0,0
xillusionZ,PAthfinder,262,0,0
xlMeowIesslx,Lynn,265,0,0
AgriásOaks,Adele,276,"23,008",0
CoronaHeroX,Hero,280,"22,374",0
Chiivess,Bishop,283,"21,485",0
PoeBow,Pathfinder,280,"19,967",0
Zeeyoung,Hoyoung,277,"18,638",0
Couronne,Bowmaster,281,"18,601",0
Aillou,Arch Mage (I/L),281,"17,995",0
Ostentat,Mechanic,284,"17,332",0
Malfe,Night Walker,280,"17,136",0
XxAvV,Adele,280,"16,538",400
Channel,Buccaneer,270,"16,180",0
EightLD,Buccaneer,278,"15,444",500
IHinoeI,Wild Hunter,285,"15,145",0
abb2be2,Angelic Buster,280,"14,699",0
Fieldsofice,Arch Mage (I/L),280,"13,579",0
OJeezOWeez,Arch Mage (F/P),281,"13,373",0
helloyesok,Cadena,262,"12,906",0
JobuTupaky,Shadower,283,"12,655",400
ArkR1,Ark,277,"12,307",300
goatnuts,Night Walker,278,"12,098",0
AnnyWithaY,Cadena,281,"11,927",0
Explosia,Bishop,280,"11,476",0
GreenHero,Hero,280,"11,393",0
Fairies,Adele,276,"11,384",800
Student625,Bishop,283,"11,244",0
Robust,Shade,266,"10,808",0
Seihin,Dawn Warrior,275,"10,769",600
Minterr,Buccaneer,274,"10,299",0
Azaghal,Mihile,264,"9,562",0
Snooted,Wind Archer,272,"9,046",0
GUINS00S,Wind Archer,277,"8,520",0
LeSqueech,Bishop,280,"8,139",600
KptKrazz,Buccaneer,276,"7,829",0
LoveGoes,Night Lord,274,"7,410",300
SadDuck,Blade Master,278,"7,195",400
darkman420,Night Walker,275,"7,098",300
DaddyDoo,Marksman,276,"7,074",700
Maokie,Arch Mage (I/L),271,"6,879",300
ShyGuy69,Demon Slayer,279,"6,836",0
BrackMama,Cannon Master,275,"6,833",0
Herfo,Hero,277,"6,726",0
Aggression,Buccaneer,262,"6,664",0
p8kerF4c3,Hero,267,"6,202",400
Invert,Battlemage,275,"6,018",300
Maydis,Lynn,270,"5,982",0
MesolessHo,Shadower,275,"5,480",300
ExcaliCrown,Hero,275,"5,110",0
Arestei,Phantom,271,"5,004",300
Synchronite,Zero,261,"4,776",300
PathJutsu,Pathfinder,276,"4,469",300
goatnuts,Kanna,265,"4,230",0
AdelePyrusX,Adele,278,"4,031",300
SmollNippy,Bishop,273,"3,995","1,000"
buffabplz,Hayato,250,"3,968",0
Sadweekend,Lara,271,"3,882",300
Snôwden,Bowmaster,276,"3,614",0
DongSoldier,Dawn Warrior,270,"3,510",0
gyaradoof,Wind Archer,261,"3,484",400
Andiology,Hero,278,"3,407",300
Jošh,Evan,272,"3,389",300
lcysilk,Night Lord,265,"3,312",0
SuhcMyDawn,Dawn Warrior,274,"3,269",400
Hádal,Buccaneer,262,"3,186",0
DroIo,Zero,270,"3,110",700
FujiBow,Bowmaster,261,"2,958",300
NatsumeReiko,Lynn,264,"2,876",0
ManasAB,Angelic Buster,273,"2,827",300
Demonictized,Demon Avenger,250,"2,808","1,000"
thunderyoung,Thunder Breaker,273,"2,787",0
Dysturbed,Phantom,265,"2,565",0
eAnNyah,Wind Archer,270,"2,244",300
Recordcake,Pathfinder,273,"2,075",300
KalePesto,Corsair,252,"1,930",300
CocoaPebbles,Night Walker,260,"1,712",0
ExceIlent,Blade Master,267,"1,304",600
Susah,Bowmaster,276,"1,194",300
ExcaliCrown,Bishop,262,"1,146",0
Fairysusu,Mercedes,270,"1,127",300
YeRangE,Hero,263,902,0
Sneakochair,Shadower,267,778,300
GiftStory,Buccaneer,265,752,300
Dargondur,Paladin,264,701,0
Erofire,Arch Mage (F/P),264,680,300
Antcbb,Aran,263,661,300
Maokie,Hayato,263,655,0
GeckÕ,Blaze Wizard,262,617,300
Ketiew,Shade,260,614,0
PuppyCake,Paladin,268,509,300
SweetPlatano,Bishop,264,344,0
Hikiniku,Dawn Warrior,270,300,300
0rvius,Illium,266,0,0
AlynaH,Corsair,267,0,0
Aoifene,Kaiser,248,0,0
AriesxArk,Ark,263,0,0
Arsteia,Bowmaster,281,0,0
ArwenWindx,Wind Archer,267,0,0
Atargattis,Wind Archer,266,0,0
BuccaR1,Buccaneer,261,0,0
Camill97,Adele,270,0,0
Cullis,Blade Master,279,0,0
DWBob,Dawn Warrior,284,0,0
DouBlaze,Shadower,265,0,0
FairParadox,Hero,272,0,0
FairyErda,Mercedes,281,0,0
FakerIsU,Mercedes,265,0,0
Femtas,Arch Mage (F/P),273,0,0
FindingRawrs,Pathfinder,281,0,0
Gambianna,Kanna,242,0,0
Gambiarra,Paladin,262,0,0
Gaslowe,Hoyoung,251,0,0
GeroHero,Hero,262,0,0
Giroe,Night Lord,259,0,0
Glacister,Kanna,243,0,0
ILoveSusah,Bowmaster,260,0,0
Ioyo,Battlemage,270,0,0
JaeiDeun,Pathfinder,277,0,0
Jayras,Dawn Warrior,267,0,0
Jettentat,Hero,261,0,0
jin99,Adele,278,0,0
KannaWoopit,Kanna,237,0,0
Kelci,Dawn Warrior,267,0,0
Kingigor,Bishop,263,0,0
Kunfumita,Kanna,264,0,0
Laphrii,Buccaneer,259,0,0
LoneSwallow,Shade,252,0,0
Lospalos,Hero,275,0,0
LumiTakeji,Luminous,277,0,0
Luumnia,Adele,262,0,0
MysticalStep,Phantom,285,0,0
NaroXY,Night Lord,284,0,0
Nooks7070,Dawn Warrior,260,0,0
Nv00,Shadower,260,0,0
Oakees,Cadena,270,0,0
Pedelle,Adele,271,0,0
PyrusILmage,Arch Mage (I/L),261,0,0
Raffff,Paladin,248,0,0
