IGN,CLASS,LVL,CULVERT,FLAG
NandoLab,Night Walker,286,"60,686",0
Zugan,Shadower,287,"50,036",0
Smellymelons,Night Walker,285,"46,340",0
AgriasOäks,Hero,285,"40,270",0
bunch0,Illium,285,"38,452",0
Sachdad,Kain,285,"37,891",0
joosty,Dawn Warrior,283,"37,561",0
AYoungPanda,Xenon,283,"37,158","1,000"
JoniPally,Paladin,285,"34,838",0
SingularityX,Hero,286,"34,182",0
NaroXY,Night Lord,284,"31,096",0
ShiroUni,Bishop,282,"30,596",300
MysticalStep,Phantom,285,"30,362",0
Cessation,Hero,284,"26,904",0
DWBob,Dawn Warrior,284,"26,481",300
Chiivess,Bishop,283,"24,233",0
Charmante,Kinesis,282,"23,667",0
SatsumaBushi,Hayato,278,0,0
Sentanapica,Bishop,271,0,0
SerAmidamaru,Hayato,266,0,0
Shiroidol,Angelic Buster,260,0,0
Snooted,Wind Archer,272,0,0
SolExCrown,Dawn Warrior,252,0,0
SweetPlatano,Bishop,263,0,0
ThatsoEvan,Evan,271,0,0
TigerThorn,Kanna,255,0,0
URAQT,Angelic Buster,260,0,0
Maokie,Hayato,263,0,0
Waowa,Wind Archer,262,0,0
WaterBender,Zero,278,0,0
Wexam,Mercedes,260,0,0
winterwinta,Phantom,273,0,0
bunchwalk,Night Walker,263,0,0
discountMerc,Wind Archer,261,0,0
fdfdfgea,Demon Slayer,265,0,0
geminiseason,Shadower,261,0,0
Kesmaree,Adele,264,0,0
onetym,Blade Master,265,0,0
pokguy,Arch Mage (I/L),278,0,0
Sadweekend,Lara,271,0,0
Sut1ven,Dawn Warrior,275,0,0
xillusionZ,Pathfinder,262,0,0
xlMeowIesslx,Lynn,265,0,0
shootemquile,Wind Archer,281,"22,629",800
AgriásOaks,Adele,276,"21,239",0
ExiledCrown,Night Lord,283,"20,469",800
Ostentat,Mechanic,284,"19,390",0
Zeeyoung,Hoyoung,277,"19,203",0
CoronaHeroX,Hero,280,"19,173",0
Malfe,Night Walker,280,"16,910",0
Channel,Buccaneer,270,"16,459",0
XxAvV,Adele,280,"16,169",300
Aillou,Arch Mage (I/L),281,"15,042",0
PoeBow,Pathfinder,280,"14,818",0
Arsteia,Bowmaster,281,"14,049","1,000"
helloyesok,Cadena,262,"13,738",0
IHinoeI,Wild Hunter,284,"13,555",0
abb2be2,Angelic Buster,280,"13,140",0
Fieldsofice,Arch Mage (I/L),280,"13,120",0
ArkR1,Ark,277,"12,504",500
goatnuts,Night Walker,277,"12,169",0
Student625,Bishop,283,"11,992",0
GreenHero,Hero,280,"11,814",0
Seihin,Dawn Warrior,275,"10,050",700
OJeezOWeez,Arch Mage (F/P),281,"9,518",0
joyjoos,Buccaneer,265,"9,428",700
Robust,Shade,266,"9,388",0
Minterr,Buccaneer,274,"8,710",0
GUINS00S,Wind Archer,277,"8,449",0
ShyGuy69,Demon Slayer,278,"8,410",0
Azaghal,Mihile,263,"8,300",0
AnnyWithaY,Cadena,281,"7,984",0
SadDuck,Blade Master,277,"7,267",300
Herfo,Hero,276,"7,242",0
Aggression,Buccaneer,262,6.858,0
darkman420,Night Walker,275,"6,730",300
BrackMama,Cannon Master,0,0,0
LeSqueech,Bishop,280,"6,608",300
DaddyDoo,Marksman,276,"6,243",700
LoveGoes,Night Lord,274,"6,178",300
p8kerF4c3,Hero,267,"5,978",300
Invert,Battlemage,275,"5,857",500
goatnuts,Kanna,264,"5,704",0
ExcaliCrown,Hero,275,"5,477",0
MesolessHo,Shadower,275,"5,457",0
Andiology,Hero,278,"5,434",500
Wharchers,Wind Archer,277,"5,242",300
jin99,Adele,278,"4,649",300
XRtheodore,Night Lord,274,"4,542",0
Arestei,Phantom,271,"4,462",300
buffabplz,Hayato,250,"4,196",0
PathJutsu,Pathfinder,276,"4,065",300
SmollNippy,Bishop,273,"3,683","1,000"
eAnNyah,Wind Archer,270,"3,683",300
Synchronite,Zero,261,"3,582",500
Maydis,Lynn,270,"3,576",300
Femtas,Arch Mage (F/P),273,"3,534",300
AdelePyrusX,Adele,278,"3,443",300
lcysilk,Night Lord,265,3.424,0
DongSoldier,Dawn Warrior,0,0,0
Jošh,Evan,272,"3,241",300
Hádal,Buccaneer,262,"3,091",0
thunderyoung,Thunder Breaker,272,"3,065",400
Snôwden,Bowmaster,275,"3,014",0
gyaradoof,Wind Archer,261,"2,890",0
DroIo,Zero,268,"2,636",300
SuhcMyDawn,Dawn Warrior,274,"2,579",300
NatsumeReiko,Lynn,264,"2,434",0
Demonictized,Demon Avenger,250,"2,433",800
ManasAB,Angelic Buster,272,"2,387",300
Winderoos,Wind Archer,271,"2,372",300
Kunfumita,Kanna,264,"2,367",700
FujiBow,Bowmaster,261,"2,213",300
Dysturbed,Phantom,265,"2,171",300
KalePesto,Corsair,252,"2,027",0
CocoaPebbles,Night Walker,260,"1,775",700
Antcbb,Aran,263,"1,712",300
ExceIlent,Blade Master,266,"1,221",900
Fairysusu,Mercedes,270,"1,174",300
Susah,Bowmaster,276,"1,015",300
Sneakochair,Shadower,266,905,300
YeRangE,Hero,262,841,0
Recordcake,Pathfinder,272,"615",300
