IGN,CLASS,LVL,CULVERT,FLAG
Zugan,Shadower,284,"30,750",0
NandoLab,Night Walker,282,"30,415",0
Goma,Marksman,282,"29,794",0
tomotokun,Thunder Breaker,282,"27,946","1,000"
Kyenesis,Kinesis,283,"27,340",0
Smellymel,NightWalker,282,"26,903",0
SingularityX,Hero,282,"26,649",100
Agriasoaks,Hero,282,"24,826",0
Burial,Dawn Warrior,282,"23,463",0
buncho,Illium,281,"23,128",350
AYoungPan,Xenon,280,"22,820",650
Hypnotism,Dawn Warrior,281,"22,701",0
STDballs,Illium,281,"22,295",0
RedEntei,Blade Master,278,"19,350",0
ShiroUni,Bishop,278,"18,618",0
NaroXY,Night Lord,281,"16,470",0
Zeeyoung,Hoyoung,276,"15,690",0
HeWhoBuc,Buccaneer,278,"15,678",0
Osmosium,Hero,276,"13,653",0
FujiNW,Night Walker,276,"13,238",0
coolcat66,Arch Mage(F/P),276,"12,331",0
AgriasOaks,Adele,276,"12,188",0
SmackYaD,: Kain,281,"12,028",0
shootemqu,Wind Archer,275,"12,004",300
SatsumaB,Hayato,277,"11,998",0
helloyesok,Cadena,261,"11,358",0
Orvius,illium,266,"10,573",0
ExiledCrown,Night Lord,277,"10,196",450
Alivya,Bishop,279,"9,884",0
Charmante,Kinesis,278,"9,760",0
PoeBow,Pathfinder,273,"9,628",0
Ostentat,Mechanic,281,"9,262",0
MysticalStep,Phantom,281,"9,222",0
linkskillxy,Mihile,270,"9,189",0
joosyu,Dawn Warrior,276,"9,118",100
Couronne,Bowmaster,276,"9,092",0
Explosia,Bishop,274,8.898,0
FindingRa,Pathfinder,278,"8,762",100
CoronaHer,Hero,274,"8,470",0
Goma,Bowmaster,261,"8,273",0
LegaSynn,Night Lord,276,"8,261",0
JobuTupaky,Shadower,280,"7,577",250
ArkR1,Ark,273,"7,264",350
XxAW,Adele,275,"7,173",0
Ailiou,Arch Mage (I/L,277,"7,078",0
STDswords,Adele,268,"6,928",0
EightLD,Buccaneers,270,"6,563",0
Student625,Bishop,278,"6,314",0
SomaSet,Dark Knight,280,"6,276",0
sut1ven,Dawn Warrior,275,"6,254",0
warlock,Night Lord,270,"6,075",0
Channel,Buccaneer,261,"6,026","1,000"
Snooted,Wind Archer,266,"5,972",0
Minterr,Buccaneer,268,"5,946",100
AnnyWithaY,Cadena,277,"5,914",300
Robust,Shade,265,"5,722",0
WaterBend,Zero,271,"5,615",100
Jing9,Adele,274,"5,543",0
Aggression,Buccaneer,262,"5,528",0
MauricioS,Bishop,270,"5,319",550
Azaghal,Mihile,262,"5,229",0
Chivess,Bishop,276,"5,158",100
goatnuts,Night Walker,267,"4,899",0
Seihin,Dawn Warrior,264,"4,424",250
FairParadox,Hero,266,"4,423",100
Jayras,Dawn Warrior,266,"4,359",100
Arsteia,Bowmaster,272,"4,276","1,000"
Equiness,Hoyoung,263,"4,253",0
SIMP4CHA,Wind Archer,273,"3,603",0
AdelePyrusX,Adele,275,"3,419",100
goatnuts,Kanna,260,"3,358",0
RaloGreen,Phantom,266,"3,240",100
MaJorG,Aran,262,"3,141",0
joyjoos,Buccaneer,260,"3,082",100
sadweeken,Lara,267,"2,830",200
Maokie,Arch Mage (I/L),263,"2,751",300
Consumab,Shadower,260,"2,586",0
Demonictiz,Demon Avenger,250,"2,521",400
LoveGoes,Night Lord,263,"2,323",0
PathJutsu,Pathfinder,265,"2,055",100
Hadal,Buccaneer,258,"2,014",0
Invert,Battle Mage,267,"1,710",100
BuccaR1,Buccaneer,260,"1,618",350
Kunfumita,Kanna,264,"1,330",0
MauricioSb,Buccaneer,260,928,650
jonipally,Paladin,264,767,0
Jettentat,Hero,261,755,100
Akunaii,Blade Master,261,703,300
StumblsRuThunderBreaker258,Unknown,258,662,100
xIllusionZ,Pathfinder,262,603,100
Klobrille,Bishop,268,370,100
Dathuwu,Kanna,252,331,100
PyrusILma,Arch Mage (I/L),260,330,0
HerosHonor,Hero,250,278,100
Ketiew,Shade,260,266,350
SuhcMyDa,Dawn Warrior,242,28,100
Anamiyawa,Evan,258,0,0
AnillaZeta,Lara,250,0,0
AoiBean,Bowmaster,260,0,0
Aoifene,Kaiser,247,0,0
Arkeustwo,Ark,260,0,0
ArwenWindx,Wind Archer,251,0,0
